order_id,customer_id,amount,currency,order_date,status
ord_0052,cust_7,74.42,USD,2025-07-03,placed
ord_0053,cust_9,279.25,USD,2025-12-16,cancelled
ord_0054,cust_9,58.74,USD,2025-01-28,shipped
ord_0055,cust_0,337.76,USD,2025-12-30,placed
ord_0056,cust_10,144.21,EUR,2025-06-14,placed
ord_0057,cust_3,331.41,EUR,2025-10-09,shipped
ord_0058,,364.86,USD,2025-06-04,shipped
ord_0059,cust_13,385.48,USD,2025-04-24,cancelled
ord_0060,cust_18,58.33,INR,2025-10-09,SHIPPED
ord_0061,cust_14,458.43,USD,2025-09-08,cancelled
ord_0062,cust_7,118.96,USD,2025-02-22,SHIPPED
ord_0063,,23.52,USD,2025-09-15,cancelled
ord_0064,cust_8,279.65,EUR,2025-10-02,placed
ord_0065,cust_6,188.61,USD,2025-05-22,placed
ord_0066,cust_18,415.75,EUR,2025-12-04,placed
ord_0067,cust_7,405.08,EUR,2025-08-22,SHIPPED
ord_0068,cust_1,161.98,USD,2025-05-02,cancelled
ord_0069,,476.69,INR,2025-01-04,placed
ord_0070,cust_15,149.0,EUR,2025-09-04,SHIPPED
ord_0071,cust_3,259.95,USD,2025-03-18,placed
ord_0072,cust_9,131.7,USD,2025-10-04,cancelled
ord_0073,cust_2,468.34,USD,2025-07-11,shipped
ord_0074,cust_13,86.48,USD,2025-06-20,cancelled
ord_0075,cust_9,27.23,USD,2025-03-01,shipped
ord_0076,cust_6,220.37,INR,2025-09-17,shipped
ord_0077,cust_4,496.23,USD,2025-03-02,cancelled
ord_0078,cust_11,446.38,USD,2025-06-02,placed
ord_0079,cust_13,375.56,EUR,2025-11-02,cancelled
ord_0080,cust_18,445.94,USD,2025-12-02,shipped
ord_0081,cust_8,447.26,INR,2025-12-28,shipped
ord_0082,cust_3,261.83,EUR,2025-12-16,SHIPPED
ord_0083,cust_16,161.38,USD,2025-07-22,cancelled
ord_0084,cust_12,387.15,USD,2025-03-15,SHIPPED
ord_0085,cust_14,332.52,INR,2025-11-03,placed
ord_0086,cust_1,189.96,EUR,2025-10-20,cancelled
ord_0087,cust_6,51.76,INR,2025-12-28,placed
ord_0088,cust_15,374.66,USD,2025-08-26,placed
ord_0089,cust_16,134.92,INR,2025-02-21,shipped
ord_0090,cust_8,468.72,EUR,2025-07-03,placed
ord_0091,cust_16,124.28,USD,2025-06-13,cancelled
ord_0092,cust_16,65.77,USD,2025-11-04,SHIPPED
ord_0093,cust_7,416.4,EUR,2025-05-24,placed
ord_0094,cust_17,80.88,USD,2025-04-30,cancelled
ord_0095,cust_5,93.74,USD,2025-01-30,shipped
ord_0096,cust_4,301.69,INR,2025-11-01,SHIPPED
ord_0097,cust_13,437.91,USD,2025-10-03,shipped
ord_0098,cust_12,102.24,USD,2025-01-16,shipped
ord_0099,cust_2,158.61,USD,2025-06-08,placed
ord_0100,cust_16,389.82,USD,2025-06-25,cancelled
ord_0101,cust_3,486.05,INR,2025-06-21,SHIPPED
ord_0102,cust_16,252.87,EUR,2025-12-02,shipped
ord_0103,cust_0,76.23,USD,2025-02-24,cancelled
ord_0104,cust_15,11.9,INR,2025-04-22,shipped
ord_0105,cust_15,118.68,INR,2025-03-08,shipped
ord_0106,cust_15,70.25,USD,2025-03-31,SHIPPED
ord_0107,cust_13,340.44,INR,2025-11-28,placed
ord_0108,cust_9,65.31,USD,2025-12-10,SHIPPED
ord_0109,cust_14,255.63,INR,2025-01-17,cancelled
ord_0110,cust_5,348.66,EUR,2025-08-19,shipped
ord_0111,cust_15,292.65,EUR,2025-03-26,SHIPPED
ord_0112,cust_11,103.89,USD,2025-03-12,cancelled
ord_0113,cust_9,403.04,INR,2025-04-17,cancelled
ord_0114,cust_10,359.13,USD,2025-03-12,cancelled
ord_0115,cust_11,370.8,USD,2025-06-28,SHIPPED
ord_0116,cust_0,69.87,USD,2025-12-30,shipped
ord_0117,cust_2,66.26,EUR,2025-08-03,shipped
ord_0118,cust_4,464.14,USD,2025-09-21,SHIPPED
ord_0119,cust_2,201.8,INR,2025-06-30,SHIPPED
ord_0120,cust_8,153.97,EUR,2025-01-06,placed
ord_0121,cust_13,246.85,USD,2025-01-31,SHIPPED
ord_0122,cust_13,333.12,USD,2025-04-09,shipped
ord_0123,cust_9,478.03,USD,2025-03-30,cancelled
ord_0124,cust_17,146.79,EUR,2025-11-03,cancelled
ord_0125,cust_11,462.78,INR,2025-11-04,placed
ord_0126,cust_1,17.31,USD,2025-11-08,shipped
ord_0127,cust_15,279.82,INR,2025-08-21,placed
ord_0128,cust_11,318.82,USD,2025-07-23,shipped
ord_0129,cust_12,57.42,INR,2025-08-25,SHIPPED
ord_0130,cust_11,74.47,INR,2025-05-29,SHIPPED
ord_0131,cust_11,212.46,EUR,2025-09-02,shipped
ord_0132,cust_1,483.28,EUR,2025-10-17,SHIPPED
ord_0133,cust_11,300.04,INR,2025-10-06,cancelled
ord_0134,cust_15,466.85,USD,2025-08-13,shipped
ord_0135,cust_6,403.16,USD,2025-01-22,cancelled
ord_0136,cust_12,236.35,USD,2025-09-22,shipped
ord_0137,cust_0,393.46,USD,2025-05-14,SHIPPED
ord_0138,cust_6,13.83,EUR,2025-09-29,cancelled
ord_0139,cust_8,59.03,EUR,2025-07-16,SHIPPED
ord_0140,cust_19,415.57,INR,2025-11-18,shipped
ord_0141,cust_4,399.42,USD,2025-05-04,placed
ord_0142,cust_5,120.16,EUR,2025-12-06,placed
ord_0143,cust_8,267.73,USD,2025-11-05,shipped
ord_0144,cust_19,304.98,USD,2025-05-01,placed
ord_0145,cust_17,434.53,EUR,2025-06-26,cancelled
ord_0146,cust_0,303.54,INR,2025-07-13,cancelled
ord_0147,cust_4,209.22,EUR,2025-10-08,shipped
ord_0148,cust_16,190.22,USD,2025-09-09,shipped
ord_0149,cust_1,215.81,EUR,2025-11-07,shipped
ord_0150,cust_17,327.71,USD,2025-05-16,placed
ord_0151,cust_5,434.41,INR,2025-07-04,SHIPPED
ord_0152,cust_18,229.68,EUR,2025-06-07,SHIPPED
ord_0153,cust_5,127.68,USD,2025-11-28,cancelled
ord_0154,cust_8,122.15,USD,2025-04-22,placed
ord_0155,cust_13,374.28,USD,2025-08-03,SHIPPED
ord_0156,cust_2,409.2,INR,2025-02-13,SHIPPED
ord_0157,cust_11,57.11,USD,2025-11-07,placed
ord_0158,cust_10,37.95,EUR,2025-05-21,placed
ord_0159,cust_15,299.24,EUR,2025-05-05,SHIPPED
ord_0160,cust_19,77.36,USD,2025-08-01,placed
ord_0161,cust_13,413.21,USD,2025-07-02,placed
ord_0162,cust_8,158.62,INR,2025-11-06,SHIPPED
ord_0163,cust_8,76.22,USD,2025-07-13,placed
ord_0164,,460.88,USD,2025-07-08,shipped
ord_0165,cust_16,86.94,EUR,2025-02-08,placed
ord_0166,cust_6,145.94,EUR,2025-01-09,SHIPPED
ord_0167,cust_3,81.04,INR,2025-05-26,SHIPPED
ord_0168,cust_6,62.17,USD,2025-12-31,cancelled
ord_0169,cust_0,15.47,USD,2025-12-01,shipped
ord_0170,cust_2,32.42,USD,2025-08-18,cancelled
ord_0171,cust_1,91.45,USD,2025-08-19,SHIPPED
ord_0172,cust_15,31.42,USD,2025-05-23,SHIPPED
ord_0173,cust_14,297.62,USD,2025-03-06,SHIPPED
ord_0174,,341.95,USD,2025-01-04,cancelled
ord_0175,cust_9,199.85,USD,2025-05-04,cancelled
ord_0176,cust_14,162.41,USD,2025-04-26,cancelled
ord_0177,cust_3,254.74,EUR,2025-03-11,cancelled
ord_0178,cust_18,438.13,EUR,2025-04-05,shipped
ord_0179,cust_10,426.31,USD,2025-01-10,shipped
ord_0180,cust_18,26.52,USD,2025-08-10,cancelled
ord_0181,cust_3,94.84,USD,2025-12-05,SHIPPED
ord_0182,cust_9,122.19,USD,2025-09-10,SHIPPED
ord_0183,cust_13,128.45,USD,2025-06-13,cancelled
ord_0184,cust_9,287.76,USD,2025-06-03,SHIPPED
ord_0185,cust_8,211.05,USD,2025-04-23,placed
ord_0186,cust_3,29.38,USD,2025-02-21,shipped
ord_0187,cust_7,189.94,USD,2025-08-07,SHIPPED
ord_0188,cust_4,264.26,USD,2025-07-26,cancelled
ord_0189,cust_6,55.33,USD,2025-01-03,cancelled
ord_0190,cust_13,417.56,EUR,2025-06-01,SHIPPED
ord_0191,cust_12,30.72,EUR,2025-04-12,shipped
ord_0192,cust_12,462.8,EUR,2025-03-04,cancelled
ord_0193,cust_7,54.06,USD,2025-09-14,shipped
ord_0194,cust_19,422.57,EUR,2025-07-11,placed
ord_0195,cust_1,451.81,USD,2025-08-20,shipped
ord_0196,cust_6,489.89,USD,2025-09-18,shipped
ord_0197,cust_2,402.0,EUR,2025-12-25,shipped
ord_0198,cust_6,390.84,USD,2025-10-21,placed
ord_0199,cust_19,323.03,USD,2025-08-15,SHIPPED
