order_id,customer_id,order_date,amount
ord_0067,cust_7,2025-11-11,470.59
ord_0068,cust_1,2025-12-02,78.48
ord_0069,cust_9,2025-02-18,256.63
ord_0070,cust_15,2025-12-14,205.0
ord_0071,cust_3,2025-08-13,239.71
ord_0072,cust_9,2025-08-21,64.01
ord_0073,cust_2,2025-02-04,71.38
ord_0074,cust_13,2025-08-15,142.65
ord_0075,,2025-09-22,155.83
ord_0076,cust_6,2025-07-31,216.81
ord_0077,cust_4,2025-01-31,307.44
ord_0078,cust_11,2025-07-10,319.14
ord_0079,cust_13,2025-12-08,208.85
ord_0080,cust_18,2025-09-22,207.35
ord_0081,cust_8,2025-02-20,112.73
ord_0082,cust_3,2025-12-17,296.21
ord_0083,cust_16,2025-12-16,161.94
ord_0084,cust_12,2025-03-03,22.85
ord_0085,cust_14,2025-10-20,212.11
ord_0086,cust_1,2025-05-29,239.7
ord_0087,,2025-08-05,116.67
ord_0088,cust_15,2025-06-12,288.37
ord_0089,cust_16,2025-10-13,285.06
ord_0090,cust_8,2025-12-30,352.49
ord_0091,cust_16,2025-10-18,325.73
ord_0092,,2025-12-06,327.95
ord_0093,cust_7,2025-12-12,161.53
ord_0094,cust_17,2025-02-02,394.78
ord_0095,cust_5,2025-04-03,276.83
ord_0096,cust_4,2025-09-21,218.55
ord_0097,cust_13,2025-08-04,314.88
ord_0098,cust_12,2025-01-19,183.53
ord_0099,cust_2,2025-02-04,258.81
ord_0100,cust_16,2025-07-09,369.67
ord_0101,cust_3,2025-08-13,443.77
ord_0102,cust_16,2025-03-03,460.92
ord_0103,,2025-03-04,254.3
ord_0104,,2025-02-17,262.54
ord_0105,cust_15,2025-07-26,400.94
ord_0106,,2025-01-03,160.65
ord_0107,cust_13,2025-07-28,419.5
ord_0108,,2025-06-23,249.6
ord_0109,cust_14,2025-06-20,62.35
ord_0110,cust_5,2025-09-05,40.67
ord_0111,cust_15,2025-07-10,421.79
ord_0112,cust_11,2025-09-23,32.51
ord_0113,cust_9,2025-10-06,143.9
ord_0114,cust_10,2025-12-02,170.39
ord_0115,cust_11,2025-10-19,90.63
ord_0116,,2025-07-08,160.38
ord_0117,,2025-06-29,372.63
ord_0118,cust_4,2025-03-28,12.27
ord_0119,cust_2,2025-08-07,414.45
ord_0120,cust_8,2025-02-20,428.99
ord_0121,cust_13,2025-12-06,189.27
ord_0122,cust_13,2025-11-05,81.04
ord_0123,cust_9,2025-02-13,302.42
ord_0124,cust_17,2025-10-14,64.24
ord_0125,cust_11,2025-02-12,185.64
ord_0126,,2025-09-21,479.42
ord_0127,cust_15,2025-02-02,497.75
ord_0128,cust_11,2025-06-28,387.19
ord_0129,,2025-08-29,158.93
ord_0130,,2025-09-24,345.39
ord_0131,cust_11,2025-06-02,354.18
ord_0132,cust_1,2025-12-03,196.98
ord_0133,cust_11,2025-10-10,322.24
ord_0134,cust_15,2025-03-18,10.31
ord_0135,cust_6,2025-09-02,108.48
ord_0136,cust_12,2025-09-24,264.92
ord_0137,cust_0,2025-05-02,86.06
ord_0138,,2025-09-27,87.12
ord_0139,,2025-11-24,418.97
ord_0140,cust_19,2025-10-26,494.62
ord_0141,cust_4,2025-10-06,280.2
ord_0142,cust_5,2025-08-20,420.34
ord_0143,cust_8,2025-04-09,495.21
ord_0144,cust_19,2025-10-18,75.09
ord_0145,cust_17,2025-05-13,226.88
ord_0146,cust_0,2025-07-14,199.32
ord_0147,cust_4,2025-04-25,44.62
ord_0148,cust_16,2025-04-25,378.89
ord_0149,cust_1,2025-02-27,219.72
ord_0150,cust_17,2025-12-17,237.32
ord_0151,cust_5,2025-02-23,79.58
ord_0152,cust_18,2025-02-01,94.56
ord_0153,cust_5,2025-12-08,454.02
ord_0154,cust_8,2025-07-22,27.1
ord_0155,cust_13,2025-06-09,120.26
ord_0156,cust_2,2025-09-27,149.57
ord_0157,,2025-05-20,247.65
ord_0158,,2025-02-16,295.29
ord_0159,cust_15,2025-09-24,249.18
ord_0160,,2025-03-06,46.64
ord_0161,cust_13,2025-07-21,125.62
ord_0162,cust_8,2025-12-13,422.58
ord_0163,,2025-12-08,320.61
ord_0164,cust_8,2025-05-12,326.33
ord_0165,cust_16,2025-10-12,336.75
ord_0166,cust_6,2025-08-12,382.64
ord_0167,cust_3,2025-06-24,33.76
ord_0168,,2025-02-21,186.47
ord_0169,,2025-05-18,272.07
ord_0170,,2025-08-26,172.54
ord_0171,cust_1,2025-12-27,423.02
ord_0172,,2025-01-02,243.87
ord_0173,cust_14,2025-09-19,385.47
ord_0174,cust_13,2025-11-05,426.75
ord_0175,cust_9,2025-12-14,254.87
ord_0176,cust_14,2025-06-04,455.23
ord_0177,cust_3,2025-02-13,295.63
ord_0178,cust_18,2025-04-09,425.89
ord_0179,cust_10,2025-11-07,173.59
ord_0180,,2025-11-17,251.91
ord_0181,cust_3,2025-08-21,268.05
ord_0182,cust_9,2025-02-14,56.96
ord_0183,cust_13,2025-02-14,202.28
ord_0184,cust_9,2025-06-24,459.08
ord_0185,cust_8,2025-08-03,317.26
ord_0186,,2025-01-12,92.87
ord_0187,cust_7,2025-09-08,172.73
ord_0188,cust_4,2025-07-18,99.84
ord_0189,,2025-01-05,17.29
ord_0190,cust_13,2025-02-04,464.09
ord_0191,,2025-06-15,226.86
ord_0192,cust_12,2025-09-21,157.23
ord_0193,,2025-10-29,301.25
ord_0194,cust_19,2025-06-07,8.62
ord_0195,cust_1,2025-04-18,142.62
ord_0196,cust_6,2025-12-20,353.0
ord_0197,cust_2,2025-06-17,318.72
ord_0198,cust_6,2025-04-26,490.99
ord_0199,cust_19,2025-06-11,312.08
